episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation,year
45.0,10/29/1998 0:00,atv,3,İkinci Bahar,erler film,Şener Şen,Türkan Şoray,Nurgül Yeşilçay,sulhi dölek,uğur yücel,"i̇brahim erkal,volkan gücer",Drama,Family,mustafa oğuz,16.45,0.0,1998
45.0,1/1/1998 0:00,atv,1,Affet Bizi Hocam,erler film,Özgü Namal,Şevket Çoruh,Ceyda Düvenci,safa önal,halit refiğ,"i̇brahim erkal,volkan gücer",Drama,Family,yılmaz emekçi,20,0.0,1998
40.0,1/1/1998,Kanal D,2,Eyvah Babam,doku film,Haluk Bilginer,Yıldız Asyalı,Arda Kural,ünal küpeli,ünal küpeli,"i̇brahim erkal,volkan gücer",Comedy,No second genre,Unknown,20,0.0,1998
60.0,11/26/1998,Star TV,6,Üvey Baba,yeni yapımlar,Şemsi İnkaya,Betül Aşçıoğlu,Burçin Abdullah,samim utku,tunca yönder,"i̇brahim erkal,volkan gücer",Drama,No second genre,tunca yönder,20,0.0,1998
45.0,10/6/1998,Show TV,2,Sırılsıklam,gold film,İbrahim Erkal,Melis Yamalıoğlu,Süleyman Turan,"arda uskan,kubilay zerener,selçuk akman",temel gürsu,"i̇brahim erkal,volkan gücer",Drama,Action & Adventure,i̇skender ulus,20,0.0,1998
40.0,2/19/1997,Star TV,4,Kara Melek,eylül tv,Sanem Çelik,Mehmet Ali Alabora,Ece Uslu,"nuran devres, kubilay zerener",uğur erkır,müjdat akgün,Drama,Action & Adventure,ertuğrul karslıoğlu,20,0.0,1997
65.0,9/15/1997 0:00,atv,3,Sıcak Saatler,"sinegraf,detay film",Kenan Işık,Mehmet Aslantuğ,Arzum Onan,ahmet yurdakul,osman sınav,"bora ebeoğlu, cengiz onural, oya ebeoğlu",Action & Adventure,Drama,osman sınav,20,0.0,1997
55.0,10/29/1997,Show TV,4,Örümcek,sedine prodüksiyon,Nilüfer Kurt,İpek Tenolcay,Betül Arım,hüseyin karakaş,zeynep tor,özkan turgay,Drama,Action & Adventure,hüseyin karakaş,20,0.0,1997
40.0,9/19/1997,atv,4,Baba Evi,muhteşem film,Halil Ergün,Deniz Gökçer,Sevinç Erbulak,"neşe cehiz, macit koper, hüseyin kuzu, hülya çelikezer, filiz terzi, ayhan sonyürek",yusuf kurçenli,özkan turgay,Drama,Family,i̇rfan tözüm,20,1.0,1997
40.0,11/6/1996,atv,5,Tatlı Kaçıklar,erler film,Mehmet Ali Erbil,Yalçın Menteş,Buket Dereoğlu,"i̇hsan aydın, kemal kenen ergen, murat kürüz, vasıf küçükoruç, atay sözer",aram gülyüz,özkan turgay,Comedy,No second genre,türker i̇nanoğlu,20,0.0,1996
45.0,7/8/1996,Kanal D,4,Çılgın Bediş,erler film,Yonca Evcimik,Çiçek Dilligil,Selahattin Taşdöğen,zeki keskin,ozan aydın,aykut gürel,Comedy,No second genre,ayhan aybek,20,1.0,1996
30.0,12/12/1993,TRT 1,9,Bizim Mahalle,"yağmur ajans,trt",Neslihan Acar,Osman Yağmurdereli,Üstün Asutay,çetin büyükakın,ülkü erakalın,"oguz abadan,müjdat akgün",Comedy,Family,osman yağmurdereli,20,0.0,1993
