episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation
130,8/1/2006 0:00,Kanal D,14,Arka Sokaklar,Erler Film,Özgür Ozan,Oya Okar,Alp Korkmaz,"Sinan Yurdakul ,Ahmet Yurdakul ,Ozan Yurdakul ,Ömer Genç ,","Orhan Oğuz ,","Murat Evgin ,",Action & Adventure,Drama,Türler İnanoğlu,20,0
75,1/1/2006 0:00,Show TV,2,Ezo Gelin,Pastel Film,Ahmet Mümtaz Taylan,Nurgül Yeşilçay,Erkan Sever,,"Onur Tan, ",,Drama,,,22.3,0
90,12/14/2005 0:00,Show TV,2,Aci hayat,Sinegraf,Kenan imirzalıoğlu,Selin Demiratar,Oğuz Galeli,"Aybars Bora, KahyaoğluSoner, Pehlivan, Tangül Sınav, İsa Yıldız",Abdülkadir Ceylan Ede,Aytuğ Yargıç,Action & Adventure,Drama,Osman Sınav,20,0
75,10/26/2005 0:00,Kanal D,2,Hırsız Polis,,Ozlem Duvencioglu,Timuçin Esen,Uğur Yücel,"Gaye Boralıoğlu, Emine Algan,",Türkan Derya Güven,,Drama,Action & Adventure,Erol Avcı,,0
60,9/11/2005 0:00,atv,1,Belalı Baldız,Med Yapım,Kenan Işık,Berna Laçin,Nurgül Yeşilçay,Haluk Özenç,"Fatih Aksoy, ",,Family,Comedy,Fatih Aksoy,,0
60,6/28/2005 0:00,atv,2,Aşk Oyunu,Med Yapım,Keremcem,Yasemin Ergene,Kuzey Vargın,"Baris Erdogan, Cem Görgeç,",Bülent İşbilen,,Drama,Romantic,Hakan Danış,,0
,2/23/2005 0:00,atv,1,Köpek,Sinema A.Ş.,Metin Cekmez,Pinar Tezcan,Erkan Petekkaya,Alican Yaraş,Cem Akyoldaş,Ali Otyam,Action & Adventure,Crime,Osman Yağmurdereli,21.45,0
75,9/3/2004 0:00,Kanal D,1,Çemberimde Gül Oya,Avşar Film,Selda Alkor,Özge Özberk,Mehmet Ali Nuroğlu,"Sertaç Ergin, Nihan Küçükural, Kerim Ceylan",Çağan Irmak,Kâmil Nizam Bigalı,Drama,Political,Şükrü Avşar,,0
60,6/19/2004 0:00,,1,Gece Yürüyüşü,Limon Film,Tarık Akan,Lale Mansur,Civan Canova,Oya Yüce,Mesude Erarslan,,Drama,,Cengiz Deveci,,0
90,2/11/2004 0:00,atv,6,Avrupa Yakası,Plato Film,Gazanfer Özcan,Gülse Birsel,Engin Günaydın,"Gülse Birsel ,","Jale Atabey Özberk ,","Cenk Durmazel ,Cenk Sarkuş ,",Family,Comedy,Gülse Birsel,20,0
